RACE,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,SETTING,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE,LIKES / DISLIKES
COCKATRICE,GIANT GAUNTLET,MOON,CENTIPEDE,KNEE,DARK RED,DIVINER,BAKERY,GLITCH,CHARMING,DETERMINED,BRUTAL,BITTER WAR VETERAN,BAKING/COOKING
CYCLOPS,GLAIVE,NATURE,CERBERUS,LEG,BURGUNDY,HERETIC,BALCONY,HALO,CHEERFUL,DOMINATING,CALCULATING,BLACK KNIGHT,BAMBOO
DEKU,GREATAXE,PAPER,CHICKEN,MOUTH,AUBURN,TOWN CRIER,BAR,ILLUSION,CLEAN,DREAMY,CALLOUS,BLIND SEER,BEACHES
DEMIGOD,GREATCLUB,SALT,CHIMERA,NAILS,HOT PINK,CAPTAIN,BARN,LAVA,CLEAR-HEADED,DRIVING,CANTANKEROUS,BOSS,BEEKEEPING
DEMON,GREATSWORD,SAND,CHIMPANZEE,NAVEL,PINK,LECTURER,BARRACKS,LUCK,CLEVER,DROLL,CARELESS,BOY NEXT DOOR,BEER
DEVIL,GUN,SEA,CLAMS,NECK,ALT PINK,ENGRAVER,"BASEMENT, CELLAR",MAGIC,COLORFUL,DRY,CAUTIOUS,BRAGGART,BEES AND BEEKEEPING
DHAMPIR,HALBERD,SHADOW,CORAL,NOSE,BRIGHT PINK,KING/QUEEN,BATHHOUSE,MAGIC BANDAGES,COMPANIONLY,EARTHY,CHARMLESS,BRAINS AND BRAWN,BELLS
DOPPELGANGER,HAMMER,SKY,CORMORANT,SHOULDER,SALMON,,BATTLE GROUND,MAGIC CLOAK,COMPASSIONATE,EFFEMINATE,CHILDISH,BULLY,BICYCLING
DRACONIAN,HANDAXE,SMOKE,COW,SKIN,CORAL,HOROLOGIST,BAZAAR,MASK,CONCILIATORY,EMOTIONAL,CLUMSY,BUMBLING SIDEKICK,BIRD WATCHING
DRAGON,HARPOON,SNOW,COYOTE,TAIL,PURPLE,PHOTOGRAPHER,BEACH,MAZE,CONFIDENT,ENIGMATIC,COARSE,BUREAUCRAT,BIRTHDAYS
DRAGONBORN,JAVELIN,SOUL,CRAB,TEETH,NEON PURPLE,COLLECTOR,BEHIND A WATERFALL,MIRAGE,CONSCIENTIOUS,EXPERIMENTAL,COLD,BYRONIC HERO,BLACK COFFEE
DRUID,KNIFE,SOUND,CROCODILE,THIGH,VIOLET,INNKEEPER,BISTRO,MIRROR,CONSIDERATE,FAMILIAL,COLORLESS,CAREER CRIMINAL,BLANKET FORTS
DRYAD,KUNAI ,SPACE ,CROW,THUMB,LAVENDER BLUSH,COOPER/HOOPER,"BLACK MARKET, UNDERGROUND MARKET",MONEY,CONSTANT,FOLKSY,COMPLACENT,CARETAKER,BODY MODIFICATION
DWARF,KUSARIGAMA,STAR,DEER,TOE,BLUE VIOLET,CATERING STAFF,BLUE LAGOON,MOON,CONTEMPLATIVE,FORMAL,COMPLAINTIVE,CAT LADY,BONFIRES
ELDER,LANCE,STEAM,DOG,TONGUE,NAVY,MERCHANT NAVY PERSONNEL,"BOARD (+ MESSAGE, QUEST)",MOSS,COOPERATIVE,FREEWHEELING,COMPULSIVE,CATALYST,BOOKS
ELF,LONGBOW,TIME,DOLPHIN,VOICE,DARK BLUE,SCAVENGER/MUDLARK/TOSHER,BOUTIQUE,MUSHROOM,COURAGEOUS,FRUGAL,CONCEITED,CHILD SAVIOUR,BOWLING
FAIRY,LONGSWORD,VOID,DOVE,WRIST,NEON BLUE,WAITING STAFF,BREWERY,NECROMANCY,COURTEOUS,GLAMOROUS,CONDEMNATORY,CHILDHOOD FRIEND,BRIGHT LIGHTS
FAUN,MACE,WATER,DRAGONFLY,,CAPRI,INSURANCE CONSULTANT,"BRIDGE (COVERED BRIDGE, DRAW BRIDGE, ROPE BRIDGE, SKY BRIDGE)",NEEDLE,CREATIVE,GUILELESS,CONFORMIST,CHOOSER OF THE CHOSEN ONE,BUGS
FIEND,MAUL,WEATHER,DUCKS,,SKY BLUE,UNEMPLOYED,BROADWAY,NOSE BLEED,CULTURED,HIGH-SPIRITED,CONFUSED,CHOSEN ONE,BURNING FOOD
FIRBOLG,MORNINGSTAR,WIND,ELEPHANT,,AZURE,MASSAGE THERAPIST,BROTHEL,OCEAN,CURIOUS,HURIED,CONTEMPTIBLE,CHUUNIBYOU,BUTTERFLIES
GENASI,NET,WOOD,ELK,,ROBIN EGG BLUE,CARE ASSISTANT,BUNGALOW,ORIGAMI,DARING,HYPNOTIC,CONVENTIONAL,CINDERELLA TYPE,CAKE
GERUDO,PIKE,,FISH,,AQUAMARINE,DESIGNER,BURIAL MOUND,PANDORA'S BOX,DEBONAIR,ICONOCLASTIC,COWARDLY,CLASS CLOWN,CALLIGRAPHY & TYPOGRAPHY
GHOST,QUARTERSTAFF,,FLAMINGO,,TURQUOISE,HERBALIST,CABIN,PAPER,DECENT,IDIOSYNCRATIC,CRAFTY,COMIC RELIEF,CALM
GHOUL,RAPIER,,FOX,,TEAL,CHATELAINE/MAJORDOMO,"CACHE (+ PIRATES, REBEL, SMUGGLERS, THIEVES)",PARAGON,DECISIVE,IMPASSIVE,CRASS,COMPETENT MAN,CAMPING
GIANT,REVOLVER,,FROG,,EMERALD,THEOLOGIAN,CAER / CAIR (STRONGHOLD),PETRIFICATION,DEDICATED,IMPERSONAL,CRAZY,COMPLICATED PAST,CANDLES AND CANDLE-MAKING
GITH,RIFLE,,GIRAFFE,,DARK GREEN,SLAVE DRIVER,CAFE,PHOBIA,DEEP,IMPRESSIONABLE,CRIMINAL,CON ARTIST,CANDY
GNOLL,SCIMITAR,,GOAT,,NEON GREEN,SERGEANT,CAIRN,PLANET,DIGNIFIED,INTENSE,CRITICAL,CONTENDER,CANOEING OR KAYAKING
GNOME,SCYTHE,,GOOSE,,LIME,CAREGIVER,CANAL,PLANT,DIRECTED,INVISIBLE,CRUDE,COWARD,CANOPY BEDS
GOBLIN,SHIELD,,GRASSHOPPER,,OLIVE,CHAPLAIN,"CARAVAN (WAGONS)(+ MERCHANT, MILITARY, NOMADS, PILGRIMS, PRISON, REFUGEE, SETTLERS, SLAVERS)",POLLEN,DISCIPLINED,IRRELIGIOUS,CRUEL,CRAZY CAT LADY,CARD GAMES
GOG,SHORTBOW,,GRIFFIN,,TAN,RETIRED,"CASINO, GAMBLING HALL",PUZZLE,DISCREET,IRREVERENT,CYNICAL,CREEPY TWINS,CAVE EXPLORING
GOLEM,SHORTSWORD,,HARE,,BROWN,ARBORIST,CASTLE,RAIN,DRAMATIC,MATERNAL,DECADENT,CRONE,CEMETERIES
GOLIATH,SHOTGUN,,HAWK,,SILVER,MINISTER,CATACOMBS,REGAL,DUTIFUL,MELLOW,DECEITFUL,CURMUDGEON,CHALK
GORGON,SHURIKEN,,HEDGEHOG,,GREY,TRANSLATOR,CATHEDRAL,RELIC,DYNAMIC,MODERN,DELICATE,DAMSEL IN DISTRESS,CHILDREN
GORON,SICKLE,,HIPPOPOTAMUS,,SLATE GREY,WARMAGE,CAUSEWAY,RIBBON,EARNEST,MORALISTIC,DEMANDING,DAMSEL IN DISTRESS,CHOCOLATE
GREMLIN,SLING,,HORSE,,,GOLDSMITH/SILVERSMITH,"CELLAR (+ ROOT, STORM, WINE)",ROOT,EBULLIENT,MYSTICAL,DEPENDENT,DANDERE,CLASSICAL MUSIC
GRIM REAPER,SLINGSHOT,,HYENA,,,ILLUMINATOR,CEMETERY,ROOT,EDUCATED,NEUTRAL,DESPERATE,DANDY,CLAY
GRIMLOCK,SPEAR,,JACKALOPE,,,HEARTH WITCH/HEARTH WIZARD,CHAIN TOWER - TOWER USED TO RAISE OR LOWER A BOOM CHAIN (HARBOR OR RIVER CHAIN),RUINS,EFFICIENT,NONCOMMITTAL,DESTRUCTIVE,DARK JESTER,CLEANING
GRUNG,STAFF,,JELLYFISH,,,LECTOR,CHAPEL,RUNES,ELEGANT,NONCOMPETITIVE,DEVIOUS,DARK LADY,CLIMBING
HALF-ELF,STICK,,KANGAROO,,,SQUIRE,CHAPEL BRIDGE,SACRED,ELOQUENT,OBEDIENT,DIFFICULT,DARK LORD,CLOUDS
HALF-GIANT,SWORD,,KOALA,,,ALCHEMIST,CHATEAU,SAND,EMPATHETIC,OLD-FASHIONED,DIRTY,DASTARDLY WHIPLASH,CLOWNS
HALF-ORC,TRIDENT,,LADYBUG,,,STAGE MAGICIAN,CHURCH / CHAPEL / CATHEDRAL,SANDMAN,ENERGETIC,ORDINARY,DISCONCERTING,DEREDERE,CLUBBING
HALFLING,WAND,,LEOPARD,,,ARCHMAGE,CIRCLE OF STONES,SCALES,ENTHUSIASTIC,OUTSPOKEN,DISCONTENTED,DEVIL INCARNATE/ DARK LORD,CLUTTER
HARENGON,WAR PICK,,LION,,,TRAIN DRIVER,CIRCLE OF WAGONS,SCAR,ESTHETIC,PATERNALISTIC,DISCOURAGING,DEVOTEE,COFFEE
HEXBLOOD,WARHAMMER,,LIZARD,,,WHEELWRIGHT,CIRCUS,SCARF,EXCITING,PHYSICAL,DISCOURTEOUS,DIVORCED DAD,COFFEE MUGS
HOBGOBLIN,WHIP,,LOBSTER,,,MANICURIST,CISTERN,SCROLL,EXTRAORDINARY,PLACID,DISHONEST,DOPPELGÄNGER,COLD FRIES
HOBOGOBLIN,,,MOLE,,,GUARD/SENTINEL,CITADEL,SEA,FAIR,POLITICAL,DISLOYAL,DOUBLE AGENT,COLD SHOWERS
HUMAN,,,MOTH,,,CABBIE/WAGONER,CITY,SHRINE,FAITHFUL,PREDICTABLE,DISOBEDIENT,DRAGON LADY,COLLECTING
HUMANOID,,,MOUSE,,,WORDSMITH,CITY HALL,SIGIL,FARSIGHTED,PREOCCUPIED,DISORDERLY,DREAMER,COLORING
HYLIAN,,,OCEAN SUNFISH,,,MILLER,CIVIC CENTER,SIN,FELICIFIC,PRIVATE,DISORGANIZED,DRILL SERGEANT,COMEDY
IMP,,,OCTOPUS,,,PRODUCER,CLIFF DWELLINGS,SKY,FIRM,PROGRESSIVE,DISPUTATIOUS,DUMB BLONDE,COMMUNITY
IMPLING,,,OSTRICH,,,FLETCHER,CLINIC,SLEEP,FLEXIBLE,PROUD,DISRESPECTFUL,DUMB MUSCLE,COMPETITION
KALASHTAR,,,OTTER,,,RENDERER,CLOCK TOWER,SMOKE,FOCUSED,PURE,DISRUPTIVE,EASY ADAPTER,COMPLAINING
KAPPA,,,OWL,,,COWHERD,"COLLEGE (+ ALCHEMIST, ARCANE, BARDS, HEALERS, MAGES, NAVAL, OF ARTIFICERS, OF SCIENCE, ROYAL)",SNOW,FORCEFUL,QUESTIONING,DISSOLUTE,ECCENTRIC FOREIGNER,CONFIDENCE
KEATON,,,OX,,,BOTANIST,COLOSSEUM,SOUL,FORGIVING,QUIET,DISSONANT,ELDERLY MARTIAL ARTS MASTER,CONSPIRACY THEORIES
KENKU,,,PANDA,,,ALIENIST,COMMUNITY CENTER,SOUL SEWER,FORTHRIGHT,RELIGIOUS,DISTRACTIBLE,ELDERLY MASTER,COOKIE BUTTER
KIKWI,,,PANGOLINS,,,WHITTLER/WOODCARVER,CONSERVATORY (GREENHOUSE),SOUL SNAKE,FREETHINKING,RESERVED,DISTURBING,EMOTIONALLY REPRESSED,COOKING
KOBOLD,,,PARROT,,,MARSHALL,"CORRAL (CATTLE, HORSE, LIVESTOCK)",SPELL,FRIENDLY,RESTRAINED,DOGMATIC,EMPATH,COOL BREEZES
KOKIRI,,,PEACOCK,,,KITCHEN DRUDGE,COTTAGE,STAR,FUN-LOVING,RETIRING,DOMINEERING,ENABLER,COSMETOLOGY
KOROK,,,PEGASUS,,,POLICE OFFICER,COURTHOUSE,STITCH,GALLANT,SARCASTIC,DULL,ETERNAL KLUTZ,COZINESS
LEONIN,,,PELICAN,,,ASTROLOGER,CRATER LAKE,STONE,GENEROUS,SELF-CONSCIOUS,EASILY DISCOURAGED,EVERYMAN/WOMAN,CRACKED SKIN
LICHE,,,PENGUIN,,,WATCHMAKER,CREMATORIUM,STRING,GENTLE,SENSUAL,EGOCENTRIC,EVIL CLOWN,CRAFTS
LIZARDFOLK,,,PHOENIX,,,ELDER,CROFT (RENTED FARMHOUSE & LAND),STUFFED ANIMALS,GENUINE,SKEPTICAL,ENERVATED,EVIL MATRIARCH,CRICKET SOUNDS
LIZARDMEN,,,PIG,,,SAPPER,CRYPT,SUMMON,GOOD-NATURED,SMOOTH,ENVIOUS,EVIL TWIN,CRITICISM
LOCATHAH,,,PIGEON,,,SQUATTER,DAM,SUN,GRACIOUS,SOFT,ERRATIC,EXPERIMENT GONE WRONG,CROCHETING OR KNITTING
LOXODON,,,RABBIT,,,PLANTATION OWNER,DANCE STUDIO,TALISMAN,HARDWORKING,,ESCAPIST,EXPLORER,CROWDS
MAGI,,,RACCOON,,,LIFT ENGINEER,DEATH VALLEY,TAROT,HEALTHY,SOLEMN,EXCITABLE,FALL GUY,CRYPTID/GHOST HUNTING
MAGOG,,,RAT,,,TAX COLLECTOR,"DEN (+ ASSASSINS, DRUG, GAMBLING, HOOKAH, OPIUM, SMUGGLERS, THIEVES)",TATTOO,HEARTY,SOLITARY,EXPEDIENT,FALLEN/ CORRUPTER,CRYPTOZOOLOGY
MEDUSA,,,RAVEN,,,FARM WORKER,DESERT,TEARS,HELPFUL,STERN,EXTRAVAGANT,FARMER'S DAUGHTER,CRYSTALS
MERMAID,,,REINDEER,,,HEALER,"DIG SITE (FOSSILS, MINERALS, RUINS)",TOXIC,HEROIC,STOLID,EXTREME,FARMER'S WIFE,CUDDLING
MERMEN,,,ROBIN,,,CHIEF,DIKE,UMBRELLA,HIGH-MINDED,STRICT,FAITHLESS,FEMALE CLOWN,CUTESY USERNAMES
MINISH,,,SEA ANEMONE,,,PUBLISHER,"DOCK (BOAT, SHIP, AIRSHIP)",VINES,HONEST,STUBBORN,FANATICAL,FEMME FATALE,CYBERPUNK
MINOTAAR (HALF-ELF HALF-BULL),,,SEA LION,,,LIEUTENANT,DOCKYARD,VIRTUES,HONORABLE,STYLISH,FANCIFUL,FINAL GIRL,DANCE
MINOTAUR,,,SEA TURTLE,,,CABIN CREW,"DOJO, SPARRING HALL, TRAINING HALL",VOICE,HUMBLE,SUBJECTIVE,FATALISTIC,FOIL,DANCING
MOGMA,,,SEA URCHIN,,,SONG WRITER,DOME,WEAPON SHIFTER,HUMOROUS,SURPRISING,FAWNING,FOLK HERO,DANGER
MUTANT,,,SEAGULL,,,JACK THE RIPPER,"DRUG (+ DEN, LOUNGE, PARLOR)",WINER MAKER,IDEALISTIC,TOUGH,FEARFUL,FOOL,DARKNESS
NAGA,,,SEAHORSE,,,CROWN PROSECUTOR,"DUGOUT, PIT-HOUSE",ZIPPERS,IMAGINATIVE,UNAGGRESSIVE,FICKLE,FOP,DARTS
NECROMANCER,,,SEAL,,,DRUNKARD,DUNGEON,Will-o'-the-wisp,IMPRESSIVE,UNAMBITIOUS,FIERY,FRENCH MAID,DEADLINES
NYMPH,,,SHARK,,,BEEKEEPER,"EMBASSY (+ COUNTRY, RACE, REALM, WORLD)",,INCISIVE,UNCEREMONIOUS,FIXED,FRIENDLY RIVAL,DEADPAN HUMOR.
OGRE,,,SHEEP,,,SHIPWRIGHT,EMPORIUM,,INCORRUPTIBLE,UNCHANGING,FLAMBOYANT,GAY BEST FRIEND,DEBATES
ORC,,,SHELLS,,,FISHER,ESTATE,,INDEPENDENT,UNDEMANDING,FOOLISH,GEEK,DECORATING
ORCLING,,,SHRIMP,,,CARDINAL,FACTORY (ASSEMBLY LINE),,INDIVIDUALISTIC,UNFATHOMABLE,FORGETFUL,GENERIC HORROR GIRL,DIORAMAS
ORK (MORE PRIMAL ORCS),,,SNAKE,,,NINJA,FAIRGROUNDS,,INNOVATIVE,UNHURRIED,FRAUDULENT,GENERIC SLASHER,DIVING
OWLIN,,,SPARROW,,,BRICKMAKER,"FARM (ANIMAL, CROP, DAIRY, SHARE CROPPERS)",,INOFFENSIVE,UNINHIBITED,FRIGHTENING,GENIUS,DIY
PARELLA,,,SPIDER,,,BLADESMITH,FARMER'S MARKET,,INSIGHTFUL,UNPATRIOTIC,FRIVOLOUS,GENTLE GIANT,DIY REPAIR
PIXIE,,,SQUID,,,PORTER,FARMHOUSE,,INSOUCIANT,UNPREDICTABLE,GLOOMY,GENTLEMAN THIEF,DOCUMENTARIES
REBORN,,,SQUIRREL,,,COURIER,FERRY,,INTELLIGENT,UNRELIGIOUS,GRACELESS,GIFTED CHILD,DOGS
RITO,,,STARFISH,,,CHANCELLOR,FIGHTING PIT,,INTUITIVE,UNSENTIMENTAL,GRAND,GIRL NEXT DOOR,DOLLHOUSES AND DOLLHOUSE FURNITURE
ROBOT,,,STORK,,,CONSTABLE,FISHERMAN'S WHARF,,INVULNERABLE,WHIMSICAL,GREEDY,GOD/ GODDESS,DOMINOES
SATYR,,,SWALLOW,,,SHOP ASSISTANT,FLORIST,,KIND,,GRIM,GOOD GUY/TRADITIONAL HERO,DRAMA
SHADE,,,SWAN,,,CHIMNEY SWEEPER,"FLOTILLA (+ TOWN, VILLAGE, CITY)",,KNOWLEDGE,,GULLIBLE,GOOD SAMARITAN,DRAWING
SHAPESHIFTER,,,TANUKI,,,LANDOWNER,FOREST,,LEADERLY,,HATEFUL,GRANDE DAME,ESCAPE ROOMS
SHEIKAH,,,TIGER,,,DOMESTIC STAFF,FORESTER'S HOUSE,,LEISURELY,,HAUGHTY,GRIEVING WIDOW,ESSENTIAL OILS
SHIFTER,,,TOAD,,,HORSE TRAINER,FORGE,,LIBERAL,,HEDONISTIC,GROUPIE,EXPLOSIVE… ANYTHING
SIMIC HYBRID,,,TURKEY,,,ARTS / ARTISTS / ARTISTIC,"FORT, FORTRESS (+ COASTAL, ISLAND, MOUNTAIN, SEA / WOODEN, STONE, METAL)",,LOGICAL,,HESITANT,GUARDIAN GRANDPARENTS,"EXTRAVAGANT THINGS, CLOTHES, ETC."
SIREN,,,UNICORN,,,PHYSIOTHERAPIST,"FORTIFICATIONS (CHEVAL DE FRISE, MOAT, PALISADE, TOWERS, TRENCH, WALL, WOODEN STAKES)",,LOVABLE,,HIDEBOUND,GUIDE,EXTREME COLD
SKELETON,,,WALRUS,,,COMEDIAN,FUNERAL HOME,,LOYAL,,HIGH-HANDED,HAG,EXTREME HOT
SORCERER,,,WHALE,,,PAINTER,GALLERY,,LYRICAL,,HOSTILE,HALFBREED HARLOT,FACIAL HAIR
SPRITE,,,WOLF,,,DIETICIAN,"GALLOWS, GIBBET",,MAGNANIMOUS,,IGNORANT,HARD-BOILED DETECTIVE,FAIRY TALES
SUBROSIAN,,,,,,RECEPTIONIST,"GAMBLING (+ DEN, HALL, LOUNGE, PARLOR), CASINO",,MANY-SIDED,,IMITATIVE,HARD WORKER,FALCONRY
SYLPH,,,,,,JUGGLER,"GARDEN, GARDENS (+ CROP*, FLOWER, HANGING, HERB, MUSHROOM, ROCK, ROOFTOP, SCULPTURE, ZEN)",,MASCULINE (MANLY),,IMPATIENT,HARLEQUIN,FALL WEATHER
TABAXI,,,,,,FORAGER,GARRISON,,METICULOUS,,IMPRACTICAL,HARSH JUDGE,FALLING
TIEFLING,,,,,,STONEMASON,GATE HOUSE,,MATURE,,IMPRUDENT,HEDONIST,FALLING LEAVES
TOKAY,,,,,,ELECTRICIAN,"GATE, GATES",,METHODICAL,,IMPULSIVE,HERMIT,FAMILY
TORTLE,,,,,,SPECIAL FORCE SOLDIER,GHOST TOWN,,MODERATE,,INCONSIDERATE,HIMBO/BIMBO,FARMER'S MARKETS
TRITON,,,,,,HIGH PRIEST/POPE,GIANT'S CAUSEWAY,,MODEST,,INCURIOUS,HIME/OUJI DERE,FARMING
TROGLODYTE,,,,,,BROTHEL KEEPER,"GIBBET, GALLOWS",,MULTI-LEVELED,,INDECISIVE,HIPPY,FENCING/SWORD FIGHTING
TROLL,,,,,,TAROT READER,GLACIER,,NEAT,,INDULGENT,HOLMESIAN DETECTIVE,FICTION
TROW,,,,,,HELMSMAN,GRANARY,,NON AUTHORITARIAN,,INERT,HOOKER WITH A HEART OF GOLD,FIGHTING
TWILI,,,,,,SOFTWARE DEVELOPER,GRANGE - FARMHOUSE & OUTBUILDINGS,,OBJECTIVE,,INHIBITED,HOPELESS ROMANTIC,FIREPLACES
VALKYRIE,,,,,,ARTIST,"GRAVE (+ FRESH, MARKER, MASS, OPEN, SITE, STONE, VACATED, YARD)",,OBSERVANT,,INSECURE,HOTSHOT,FIREWORKS
VAMPIRE,,,,,,GANGSTER,GRAVEYARD,,OPEN,,INSENSITIVE,HOUSEWIFE,FISHING
VEDALKEN,,,,,,CLERK,GREENHOUSE,,OPTIMISTIC,,INSINCERE,IDIOT,FITTED CLOTHING
VERDAN,,,,,,MANAGEMENT CONSULTANT,"GROUNDS (+ BURIAL, FAIR, PARADE, SACRED, TOURNEY, TRAINING)",,ORDERLY,,INSULTING,IDIOT SAVANT,FLASH MOBS
WARFORGED,,,,,,GENERAL CONTRACTOR,GUARD POST,,ORGANIZED,,INTOLERANT,IDIOT TURNED HERO,FLASHING LIGHTS
WARLOCK,,,,,,SPY,"GUILD, GUILD HALL, GUILD HOUSE",,ORIGINAL,,IRASCIBLE,IMMIGRANT,FLAVORED COFFEE CREAMERS
WENDIGO,,,,,,MINER,HABERDASHERY,,PAINSTAKING,,IRRATIONAL,IMPOSTER/PRETENDER,FLIRTING
WEREWOLF,,,,,,INDEPENDENT MEANS,"HALL (+ CITY, GAMBLING, GUILD, MEAD, MEETING, MUSIC, OPERA, TOWN, TRAINING)",,PASSIONATE,,IRRESPONSIBLE,INCOMPETENT OFFICER,FLOWER PRESSING
WITCH,,,,,,BARRISTER,HARBOR,,PATIENT,,IRRITABLE,INGENUE,FLOWERS
WIZARD,,,,,,MATHEMATICIAN,"HATCHERY (ANIMAL, BEAST, MONSTER)",,PATRIOTIC,,LAZY,INNOCENT,FLYING
WIZZROBE,,,,,,HISTORIAN,HEAVEN,,PEACEFUL,,LIBIDINOUS,INNOVATOR,FOOD
WRAITH,,,,,,ASSEMBLY LINE WORKER,HEDGE MAZE,,PERCEPTIVE,,LOQUACIOUS,INVASIVE NEIGHBOR,FORAGING
YETI,,,,,,CABIN BOY/CABIN GIRL,HENGE,,PERFECTIONIST,,MALICIOUS,JADED LEAD,FORESTS
YUAN-TI PUREBLOOD,,,,,,ORATOR/SPOKESMAN,HIDEOUT,,PERSONABLE,,MANNERED,JOCK,FOSSILS
ZOMBIE,,,,,,ACOLYTE,HOLD,,PERSUASIVE,,MANNERLESS,JOKER/ JESTER,FOUL ODOR
ZORA,,,,,,CULT LEADER,HORREUM (WAREHOUSE),,PLANFUL,,MAWKISH,JOURNALIST,FRESH AIR
,,,,,,FALCONER,HOSPITAL,,PLAYFUL,,MEALY MOUTHED,KAMIDERE,FRESH LAUNDRY
,,,,,,ART THERAPIST,HOSTEL (BED & BREAKFAST),,POLISHED,,MECHANICAL,KNIGHT-ERRANT,FULFILLMENT
,,,,,,SECURITY GUARD,"HOUSE (+ BATH, BOAT, COACH, COFFEE, FARM, GUEST, GUILD, LONG, MANOR, OPERA, RITUAL, SAFE, SMOKE, SUMMER, TEA, THEATER, TURF, WINTER)",,POPULAR,,MEDDLESOME,KUUDERE,FUNERALS
,,,,,,BILLBOARD POSTER,HOVEL,,PRACTICAL,,MELANCHOLIC,LEADER,FUNGI
,,,,,,GLAZIER,"HUT, HUTS (ADOBE, CLOTH, EARTHEN, GRASS, HIDE, ICE, MUD, SNOW, STONE, STRAW, WOOD)",,PRECISE,,MERETRICIOUS,LEGACY HERO,GAMING
